,,,Question,Answer,,,,
Author,22,1969-11-01,J.J. Sylvester,R. Townsend,22,1969-12-01,12,17
3004,22,1969-11-01,R.W. Genese,R.W. Genese,23,1970-12-01,14,14
3007,22,1969-11-01,R. Tucker,R. Tucker,xx,xx,14,86
3010,22,1969-11-01,J.J. Walker,J.J. Walker,xx,xx,16,46
3011,22,1969-11-01,R. Tucker,R. Tucker,xx,xx,15,84
3015,22,1969-11-01,A. Martin,A. Martin,24,1971-04-01,15,14
3017,22,1969-11-01,A.W. Panton,G.M. Minchin,xx,xx,13,17
3020,22,1969-12-01,J. Blissard,J.J. Walker,22,1970-02-01,13,6
3021,22,1969-12-01,W.K. Clifford,R. Townsend,22,1970-03-01,13,46
3022,22,1969-12-01,W. Roberts,R. Townsend,23,1970-04-01,13,46
3024,22,1969-12-01,A.B. Evans,R. Tucker,24,1971-06-01,15,9
3029,22,1969-12-01,S. Watson,Prof. Lampe,48,1995-02-01,62&63,44
3031,22,1969-12-01,G.M. Minchin,G.M. Minchin,23,1970-07-01,14,6
3043,22,1970-01-01,J. Wolstenholme,T.C. Simmons,38,1985-09-01,44,8
3044,22,1970-01-01,S. Roberts,S. Roberts,xx,xx,15,44
3049,22,1970-01-01,R. Genese,R. Genese,xx,xx,14,45
3053,22,1970-01-01,G.M. Minchin,G.M. Minchin,23,1970-09-01,14,6
3054,22,1970-01-01,W. Roberts,J.J. Walker,23,1970-05-01,13,46
3061,22,1970-01-01,C. Taylor,R.W. Genese,24,1971-04-01,15,45
3068,22,1970-02-01,S. Roberts,S. Roberts,23,1970-04-01,13,24
3071,22,1970-02-01,W.A. Whitworth,J. Wolstenholme,23,1970-04-01,13,17
3073,22,1970-02-01,E. Hill,H.,23,1970-05-01,13,19
3074,22,1970-02-01,J. Blissard,J. Blissard,xx,xx,14,6
3077,22,1970-02-01,R.W. Genese,James Dale,xx,,14,41
3080,22,1970-02-01,C. Taylor,J. Wolstenholme,23,1970-06-01,13,45
3081,22,1970-02-01,B.W. Horne,Morgan Jenkins,23,1970-06-01,13,44
3082,22,1970-02-01,J.J. Walker,J.A. McNeill,xx,xx,13,2
3083,22,1970-02-01,James Matteson,D.S. Hart,xx,xx,39,9
3086,22,1970-03-01,M.W. Crofton,J.J. Walker,xx,xx,13,6
3088,22,1970-03-01,C.W. Merrifield,C.W. Merrifield,23,1970-07-01,14,75
3090,22,1970-03-01,E. Hill,James Dale,23,1970-11-01,14,18
3092,22,1970-03-01,A. Martin,A. Martin,23,1970-05-01,13,14
3095,22,1970-03-01,S. Roberts,S. Roberts,23,1970-10-01,14,44
3097,22,1970-03-01,W.A. Whitworth,J. Wolstenholme,23,1970-07-01,14,45
3098,22,1970-03-01,N’Importe(Editor MQ),J. Wolstenholme,23,1970-09-01,14,44
