Question,Answer
J.J. Sylvester,R. Townsend
R.W. Genese,R.W. Genese
R. Tucker,R. Tucker
J.J. Walker,J.J. Walker
R. Tucker,R. Tucker
A. Martin,A. Martin
A.W. Panton,G.M. Minchin
J. Blissard,J.J. Walker
W.K. Clifford,R. Townsend
W. Roberts,R. Townsend
A.B. Evans,R. Tucker
S. Watson,Prof. Lampe
G.M. Minchin,G.M. Minchin
J. Wolstenholme,T.C. Simmons
S. Roberts,S. Roberts
R. Genese,R. Genese
G.M. Minchin,G.M. Minchin
W. Roberts,J.J. Walker
C. Taylor,R.W. Genese
S. Roberts,S. Roberts
W.A. Whitworth,J. Wolstenholme
E. Hill,H.
J. Blissard,J. Blissard
R.W. Genese,James Dale
C. Taylor,J. Wolstenholme
B.W. Horne,Morgan Jenkins
J.J. Walker,J.A. McNeill
James Matteson,D.S. Hart
M.W. Crofton,J.J. Walker
C.W. Merrifield,C.W. Merrifield
E. Hill,James Dale
A. Martin,A. Martin
S. Roberts,S. Roberts
W.A. Whitworth,J. Wolstenholme
N’Importe(Editor MQ),J. Wolstenholme
