-13,1,Dec 48,An Esteemed Correspondent,James Wharton,1,Jan 49,"xx
xx",41,
-12,1,Jan 49,T. Morley,"Unknown
T.J.L.",1,"Feb 49
Feb 49","xx
xx",9,
-11,1,Feb 49,T.J.L.,J.W.,1,Mar 49,xx,41,
-10,1,Feb 49,Enquirer,T. Morley,1,Mar 49,xx,22,
-9,1,Mar 49,Thomas Morley,J.W.,1,Apr 49,xx,22,
-8,1,Apr 49,Thomas Morley,"UNKNOWN
UNKNOWN","1
1","May 49
Jun 49","xx
xx",41,
-7,1,Apr 49,Collegian,J.W.,1,May 49,xx,22,
-6,1,May 49,Gomphos,,,,,3,
-5,1,May 49,S.A.G.,,,,,74,
-4,1,Jun 49,Geometricus,UNKNOWN,1,July 49,xx,47,
-3,1,Jun 49,UNKNOWN,J.W.,1,Jul 49,xx,22,
-2,1,Jul 49,Geometricus,UNKNOWN,2,Aug 49,xx,41,
-1,1,Jul 49,J.W.,,,,,22,
1,2,Aug 49,Geometricus,Thomas Wilkinson,2,Sep 49,xx,41,
2,2,Aug 49,Philo-Mathematicus,Thomas Wilkinson,2,Sep 49,xx,46,
3,2,Sep 49,,,,,,41,
4,2,Sep 49,Theta,Thomas Wilkinson,3,Nov 49,xx,47,
5,2,Sep 49,Theta,Thomas Wilkinson,3,Oct 49,xx,41,
6,2,Sep 49,Theta,Thomas Wilkinson,3,Oct 49,xx,61,
7,2,Sep 49,Thomas Wilkinson,Thomas Wilkinson,3,Oct 49,xx,41,
8,2,Sep 49,Thomas Wilkinson,Thomas Wilkinson,3,Oct 49,xx,41,
9,2,Sep 49,Geometricus,Thomas Wilkinson,3,Dec 49,xx,47,
10,3,Oct 49,UNKNOWN,"J.S.
Thomas Wilkinson *
J.M. [of Biggleswade] *","3
3
3","Nov 49
Nov 49
Nov 49","xx
xx
xx",47,
11,3,Oct 49,UNKNOWN,"J.S.
Thomas Wilkinson *
J.M. [of Biggleswade] *","3
3
3","Nov 49
Nov 49
Nov 49","xx
xx
xx",22,
12,3,Oct 49,Thomas Morley,"J.S.
Thomas Wilkinson *
J.M. [from Plymouth] *","3
3
3","Nov 49
Nov 49
Nov 49","xx
xx
xx",41,
13,3,Nov 49,Thomas Wilkinson,Thomas Wilkinson,3,Dec 49,xx,4,
14,3,Nov 49,Thomas Wilkinson,Thomas Wilkinson,3,Dec 49,xx,44,
15,3,Nov 49,Thomas Wilkinson,"J.M.[of Biggleswade]
Thomas Wilkinson *","3
3","Dec 49
Dec 49","xx
xx",41,
16,3,Nov 49,Septimus Tebay,Septimus Tebay,3,Dec 49,xx,18,
17,3,Nov 49,Geometricus,Geometricus,3,Dec 49,xx,47,
18,3,Dec 49,Thomas Wilkinson,"J.W.
J.S. *
T. Wilkinson *","3
3
3","Jan 50
Jan 50
Jan 50","xx
xx
xx",41,
19,3,Dec 49,Thomas Wilkinson,"Thomas Wilkinson
J.S. *
Septimus Tebay *","3
3
3","Jan 50
Jan 50
Jan 50","xx
xx
xx",41,
20,3,Dec 49,Septimus Tebay,"Thomas Wilkinson
Septimus Tebay","3
3","Jan 50
Jan 50","xx
xx",44,
21,3,Dec 49,Geometricus,Geometricus,3,Jan 50,xx,47,
