,,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE,
13000,49,Jan 96,J. Neuberg,,,,,41,
13001,49,Jan 96,K.J. Sanjána,"G. Heppel
H.W. Curjel","xx
xx","xx
xx","65
65",22,
13002,49,Jan 96,A. Droz-Farny,"G. Heppel
J.L. Kitchin","49
49","Mar 96
Mar 96","65
65",47,
13003,49,Jan 96,V. Ramaswami Aiyar,"H.W. Curjel
K.J. Sanjána",49,"Mar 96
Mar 96","65
65",15,
13004,49,Jan 96,B. Chakravarti,"W.J. Dobbs
J.L. Kitchin","49
49","Aug 96
Aug 96","66
66",3,
13005,49,Jan 96,F.P. Matz,,66,U 11/13,,17,
13006,49,Jan 96,Prof Morley,"R.F. Davis
Prof. Mukhopadhyay","49
49","Apr 96
Apr 96","65
65",41,
13007,49,Jan 96,G.B.M. Zerr,"H.W. Curjel
Nath Coondoo","49
49","Mar 96
Mar 96","65
65",47,
13008,49,Jan 96,Prof. Gregg,"G. Heppel
H.W. Curjel","49
49","Mar 96
Mar 96","65
65",41,
13009,49,Jan 96,Prof. Izitzéica,,,,,46,
13010,49,Jan 96,F.M. Shields,"J.L. Kitchin
Prof. Krishnamacharry","xx
xx","xx
xx","66
66",2,
13011,49,Jan 96,Prof. Davidoglou,"H.W. Curjel
Nilkantha Sarkar","49
49","May 96
May 96","65
65",44,
13012,49,Jan 96,Prof. Tarry,,,,,41,
13013,49,Jan 96,Prof. Cochez,"H.W. Curjel
J.L. Kitchin","49
49","Apr 96
Apr 96","65
65",79,
13014,49,Jan 96,Editor,"G. Heppel
D. Thomas","49
49","Mar 96
Mar 96","65
65",22,
13015,49,Jan 96,R. Lachlan,"G. Heppel
H.W. Curjel","49
49","Apr 96
Apr 96","65
65",45,
13016,49,Jan 96,J.J. Walker,"J. Cullen
G. Heppel","49
49","Mar 96
Mar 96","65
65",21,
13017,49,Jan 96,A.S. Eve,"J.L. Kitchin
A.S. Eve","49
49","Apr 96
Apr 96","65
65",44,
13018,49,Jan 96,D. Biddle,"J.L. Kitchin
I. Beyens","xx
xx","xx
xx","66
66",22,
13019,49,Jan 96,T.C. Simmons,,,,,8,
13020,49,Jan 96,S.J. Rowton,,,,,4,
13021,49,Jan 96,W.C. Stanham,"Nath Coondoo
W.C. Stanham
Swaminatha Aiyar","49
49
xx","Mar 96
Mar 96
xx","65
xx
65",14,
13022,49,Jan 96,F.W. Flood,"G. Heppel
R.F. Davis","49
49","Mar 96
Mar 96","65
65",22,
13023,49,Jan 96,I. Arnold,"M. Brierley
Swaminatha Aiyar","49
49","May 96
May 96","65
65",41,
13024,49,Jan 96,J. Griffiths,,,,,41,
13025,49,Jan 96,J.M. Stoops,"R.F. Davis
J.L. Kitchin","49
49","Jun 96
Jun 96","65
65",6,
13026,49,Jan 96,T. Roach,"W.J. Dobbs
J.L. Kitchin","49
49","Sep 96
Sep 96","66
66",3,
13027,49,Jan 96,H. Stewart,"C.W. Adams
J.C. Swaminarayan","66
66","Nov 13
Nov 13","100
100",31,
13028,49,Jan 96,T. Wood Robinson,"T. Wood Robinson
Prof. Mukhopadhyay","49
49","Oct 96
Oct 96","66
66",79,
13029,49,Jan 96,Mme. Vve. F.Prime,W.J. Greenstreet,xx,xx,77,48,
13029.5,49,Jan 96,C. Bickerdike,,,,,92,
13030,49,Jan 96,R.F. Davis,"B. Chakravarti
R.F. Davis","49
49","Oct 96
Oct 96","66
66",41,
13031,49,Jan 96,William Booth,,,,,44,
