,,,,,,,,
,,,,,,,,
NUM,ET VOL,DATE,PROPOSER,SOLVERS,ET VOL,DATE,MQ VOL,TYPE
8000,38,Feb 85,J. Wolstenholme,D. Edwardes,39,Jan 86,45,79
8001,38,Feb 85,Lloyd Tanner,Emily Perrin,38,Apr 85,43,31
8002,38,Feb 85,W.K. Clifford,,,,,44
8003,38,Feb 85,G.M. Minchin,,,,,17
8004,38,Feb 85,Sáradâranjan Ráy,,,,,22
8005,38,Feb 85,W.H.H. Hudson,,,,,46
8006,38,Feb 85,Byomakesa Chakravarti,S. Haughton,38,May 85,43,19
8007,38,Feb 85,A. Macfarlane,A. Macfarlane,38,Aug 85,44,10
8008,38,Feb 85,J. Wolstenholme,"R. Lachlan
Dr. Curtis","38
38","Jun 85
Jun 85","43
43",45
8009,38,Feb 85,S. Haughton,,,,,18
8010,38,Feb 85,Kaliprasânna Roy,"H.S. Jones
B. Hanumanta Rau","38
38","Dec 85
Dec 85","44
44",41
8011,38,Feb 85,Prof. Cochez,"G.G. Storr
H.S. Jones","38
38","Sep 85
Sep 85","44
44",61
8012,38,Feb 85,Editor,"T.C. Simmons
D. Biddle (ps)","38
38","Jun 85
Jun 85","43
43",41
8013,38,Feb 85,Father of the 15 Young Ladies,H.J. Woodall,45,Jan 92,57,10p
8014,38,Feb 85,T.R. Terry,,,,,17
8015,38,Feb 85,R.A. Roberts,,,,,20
8016,38,Feb 85,T. Muir,"B.H. Rau
J. O’Regan","38
38","Jun 85
Jun 85","44
44",25
8017,38,Feb 85,T.C. Simmons,,,,,13
8018,38,Feb 85,A.R. Clarke,,,,,13
8019,38,Feb 85,W.J.C. Sharp,"B. Hanumanta Rau
J. O’Regan","40
40","Sep 87
Sep 87","48
48",17
8020,38,Feb 85,Asparagus,R. Lachlan,xx,xx,49,45
8021,38,Feb 85,H.L. Orchard,"H.L. Orchard
T. Galliers","xx
xx","xx
xx","44
44",44
8022,38,Feb 85,J. Brill,"G.G. Storr
T. Galliers","42
42","Mar 89
Mar 89","51
51",41
8023,38,Feb 85,D. Biddle,,,,,15
8024,38,Feb 85,R. Tucker,"Emily Perrin
D. Biddle","xx
xx","xx
xx","43
43",41
8025,38,Feb 85,Asûtosh Mukhopâdhyây,,,,,11
8026,38,Feb 85,Hugh MacColl,,,,,13
8027,38,Feb 85,J.R. Holt,,,,,44
8028,38,Feb 85,Iris,"A.H. Curtis
B. Chakravarti","xx
xx","xx
xx","43
43",41
8029,38,Feb 85,W.J. McClelland,"B.H. Rau
G.G. Storr","38
38","Dec 85
Dec 85","44
44",31
8030,38,Feb 85,R. Knowles,"B.H. Rau
E. Rutter","xx
xx","xx
xx","44
44",48
8031,38,Feb 85,E. Rutter,"B.H. Rau
A. Gordon","xx
xx","xx
xx","44
44",9
