proposer,solver,qtype
J.J.Sylvester,J.J.Sylvester(8),41
J.J.Sylvester,ArcherStanley,41
J.J.Sylvester,J.R.Wilson,41
J.J.Sylvester,J.McDowell,41
J.J.Sylvester,W.K.Clifford,41
J.J.Sylvester,A.Renshaw,41
J.J.Sylvester,W.K.Clifford,43
J.J.Sylvester,W.K.Clifford,75
J.J.Sylvester,J.J.Sylvester,48
J.J.Sylvester,JamesWilson,48
J.J.Sylvester,WilliamHogg,48
J.J.Sylvester,Dr.Rutherford,48
J.J.Sylvester,Alpha,48
J.J.Sylvester,R.Tucker,48
J.J.Sylvester,C.Taylor,48
J.J.Sylvester,W.K.Clifford,44
J.J.Sylvester,A.Renshaw,44
J.J.Sylvester,T.A.Hirst,44
J.J.Sylvester,W.J.C.Sharp,45
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,SamuelRoberts,75
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,S.Bills,3
J.J.Sylvester,SamuelRoberts,8
J.J.Sylvester,[Samesolution],8
J.J.Sylvester,G.C.DeMorgan,8
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,UNKNOWN,10
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,ArcherStanley,17
J.J.Sylvester,S.Bills,23
J.J.Sylvester,F.D.Thomson,23
J.J.Sylvester,J.J.Sylvester,41
J.J.Sylvester,J.J.Sylvester,17
J.J.Sylvester,J.J.Sylvester,23
J.J.Sylvester,UNKNOWN,45
J.J.Sylvester,UNKNOWN,22
J.J.Sylvester,UNKNOWN,8
J.J.Sylvester,J.J.Sylvester,79
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,UNKNOWN,41
J.J.Sylvester,A.Cayley,27
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,R.Townsend,17
J.J.Sylvester,Withdrawn,13
J.J.Sylvester,El.Rossoli,6
J.J.Sylvester,UNKNOWN,23
J.J.Sylvester,A.Cayley,45
J.J.Sylvester,J.J.Sylvester,45
J.J.Sylvester,L.Cremona,45
J.J.Sylvester,J.J.Sylvester,6
J.J.Sylvester,J.Blissard,6
J.J.Sylvester,ThomasSavage,6
J.J.Sylvester,J.Dale,13
J.J.Sylvester,A.Cohen,13
J.J.Sylvester,J.D.Everett,13
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,UNKNOWN,14
J.J.Sylvester,W.H.Laverty,41
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,StephenWatson,13
J.J.Sylvester,SamuelRoberts,13
J.J.Sylvester,H.J.Woodall,14
J.J.Sylvester,W.J.C.Sharp,92
J.J.Sylvester,J.J.Sylvester,14
J.J.Sylvester,W.H.Laverty,24
J.J.Sylvester,S.W.Bromfield,24
J.J.Sylvester,StephenWatson,13
J.J.Sylvester,UNKNOWN,46
J.J.Sylvester,J.McDowell,41
J.J.Sylvester,W.L.Bowditch,41
J.J.Sylvester,C.Law,41
J.J.Sylvester,H.Murphy,41
J.J.Sylvester,A.Cohen,41
J.J.Sylvester,S.W.Bromfield,41
J.J.Sylvester,H.Tomlinson,41
J.J.Sylvester,W.M.Madden,41
J.J.Sylvester,J.Dale,41
J.J.Sylvester,T.J.Sanderson,41
J.J.Sylvester,R.Harley,41
J.J.Sylvester,M.Collins,41
J.J.Sylvester,T.Cottrerill,41
J.J.Sylvester,H.McColl,41
J.J.Sylvester,C.W.Merrifield,41
J.J.Sylvester,A.Cayley,76
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,A.Cayley,44
J.J.Sylvester,M.W.Crofton,44
J.J.Sylvester,T.A.Hirst,44
J.J.Sylvester,W.S.Burnside,44
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,J.Neuberg,45
J.J.Sylvester,J.J.Sylvester,23
J.J.Sylvester,W.S.Burnside,23
J.J.Sylvester,M.W.Crofton,13
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,GabrielTorrelli,6
J.J.Sylvester,StephenWatson,13
J.J.Sylvester,UNKNOWN,48
J.J.Sylvester,UNKNOWN,6
J.J.Sylvester,UNKNOWN,13
J.J.Sylvester,UNKNOWN,44
J.J.Sylvester,J.J.Sylvester,88
J.J.Sylvester,M.W.Crofton,88
J.J.Sylvester,UNKNOWN,17
J.J.Sylvester,A.M.Nash,79
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,W.J.C.Sharp,79
J.J.Sylvester,J.Wolstenholme,41
J.J.Sylvester,J.J.Sylvester,41
J.J.Sylvester,UNKNOWN,79
J.J.Sylvester,ThomasSavage,61
J.J.Sylvester,M.Jenkins,61
J.J.Sylvester,H.Tomlinson,61
J.J.Sylvester,J.J.Sylvester,13
J.J.Sylvester,J.D.Everett,13
J.J.Sylvester,J.J.Sylvester,10
J.J.Sylvester,UNKNOWN,14
